# formatVersion	captureKey	name=value fields (UTF-8, CRLF)
2	MAPPER_APPLEFARM|Generic|Default	captureReferenceHeight=119	captureReferencePivotX=0.5	captureReferencePivotY=0.142857149	captureReferenceSha256=D803FE18C6457E2D899A898C877E97CD65AA33532EC17A1D16C0EFA7EE470E40	captureReferenceWidth=64	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:53:00.6894160Z	compositePng=MAPPER_APPLEFARM_Generic_Default.png	compositeSha256=9D9BEBD20C5279255EA85D01BD7780F2E253E1DE62C1FF38176E1C5EB8FFCD4D	fragmentCount=1	fragmentSignature=A18B032FE9855314	gameVersion=1.0	groundCenterX=32.5	groundCenterY=128.25	groundCenterZ=0	mapperName=MAPPER_APPLEFARM	mapperNameObserved=MAPPER_APPLEFARM	mapperValue=72	maximumColumn=182	maximumHeight=0.25	maximumRow=388	minimumColumn=182	minimumHeight=0.25	minimumRow=388	mouseTileX=288	mouseTileY=223	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=1	view=Default
2	MAPPER_ARMOURER|Generic|Default	captureReferenceHeight=243	captureReferencePivotX=0.5	captureReferencePivotY=0.2674897	captureReferenceSha256=4811F97BD64F2229975D435F796EB3B16BFCE94FDD8C33765AA7C27D80E1032E	captureReferenceWidth=256	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:55:04.3578642Z	compositePng=MAPPER_ARMOURER_Generic_Default.png	compositeSha256=4811F97BD64F2229975D435F796EB3B16BFCE94FDD8C33765AA7C27D80E1032E	fragmentCount=16	fragmentSignature=E4B7E675623DA0B1	gameVersion=1.0	groundCenterX=35	groundCenterY=128.25	groundCenterZ=0	mapperName=MAPPER_ARMOURER	mapperNameObserved=MAPPER_ARMOURER	mapperValue=84	maximumColumn=186	maximumHeight=0.25	maximumRow=391	minimumColumn=183	minimumHeight=0.25	minimumRow=385	mouseTileX=290	mouseTileY=220	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=16	view=Default
2	MAPPER_ARMOURY|Generic|Default	captureReferenceHeight=306	captureReferencePivotX=0.5	captureReferencePivotY=0.2124183	captureReferenceSha256=1F76E229014EBE280B12C992143BB44C91BAE65AD0340E529514950D7EDFBDB9	captureReferenceWidth=256	captureRotation=0	capturedUtc=2026-07-31T21:26:28.5163151Z	compositePng=MAPPER_ARMOURY_Generic_Default.png	compositeSha256=1F76E229014EBE280B12C992143BB44C91BAE65AD0340E529514950D7EDFBDB9	fragmentCount=16	fragmentSignature=17B79FD2D46AE67A	gameVersion=1.0	groundCenterX=23.5	groundCenterY=119.5	groundCenterZ=0	mapperName=MAPPER_ARMOURY	mapperNameObserved=MAPPER_ARMOURY	mapperValue=81	maximumColumn=175	maximumHeight=0.25	maximumRow=426	minimumColumn=172	minimumHeight=0.25	minimumRow=420	mouseTileX=261	mouseTileY=214	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=16	view=Default
2	MAPPER_BAKER|Generic|Default	captureReferenceHeight=264	captureReferencePivotX=0.5	captureReferencePivotY=0.246212125	captureReferenceSha256=8C5887A17C0024ECB6FAC1293C6A4C1821DE6802C1DEADA4113AC1ABBCFD52EB	captureReferenceWidth=256	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:55:12.6171652Z	compositePng=MAPPER_BAKER_Generic_Default.png	compositeSha256=8C5887A17C0024ECB6FAC1293C6A4C1821DE6802C1DEADA4113AC1ABBCFD52EB	fragmentCount=16	fragmentSignature=D2AD74D7C3FCAE14	gameVersion=1.0	groundCenterX=31.5	groundCenterY=129.5	groundCenterZ=0	mapperName=MAPPER_BAKER	mapperNameObserved=MAPPER_BAKER	mapperValue=75	maximumColumn=183	maximumHeight=0.25	maximumRow=386	minimumColumn=180	minimumHeight=0.25	minimumRow=380	mouseTileX=289	mouseTileY=226	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=16	view=Default
2	MAPPER_BARRACKS_STONE|Generic|ReservationDefault	captureReferenceHeight=482	captureReferencePivotX=0.5	captureReferencePivotY=0.3340249	captureReferenceSha256=8F64FFB8DA3C9990B7210C2ED67D7EBB5432307C3F25C36E9EAFC20E8EA586A4	captureReferenceWidth=640	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:50:25.5314796Z	compositePng=MAPPER_BARRACKS_STONE_Generic_ReservationDefault.png	compositeSha256=8F64FFB8DA3C9990B7210C2ED67D7EBB5432307C3F25C36E9EAFC20E8EA586A4	fragmentCount=100	fragmentSignature=8413E6E7E21DB9D9	gameVersion=1.0	groundCenterX=34	groundCenterY=128.75	groundCenterZ=0	mapperName=MAPPER_BARRACKS_STONE	mapperNameObserved=MAPPER_BARRACKS_STONE	mapperValue=87	maximumColumn=188	maximumHeight=0.25	maximumRow=395	minimumColumn=179	minimumHeight=0.25	minimumRow=377	mouseTileX=293	mouseTileY=225	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=100	view=ReservationDefault
2	MAPPER_BARRACKS_WOOD|Generic|ReservationDefault	captureReferenceHeight=367	captureReferencePivotX=0.5	captureReferencePivotY=0.4386921	captureReferenceSha256=5A3798326DA331F9C4BBD79015DF49CBB9CF0E31650D6B3411D0F633209895ED	captureReferenceWidth=640	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:50:29.2581536Z	compositePng=MAPPER_BARRACKS_WOOD_Generic_ReservationDefault.png	compositeSha256=5A3798326DA331F9C4BBD79015DF49CBB9CF0E31650D6B3411D0F633209895ED	fragmentCount=100	fragmentSignature=59DCA105367AEC5E	gameVersion=1.0	groundCenterX=35	groundCenterY=128.25	groundCenterZ=0	mapperName=MAPPER_BARRACKS_WOOD	mapperNameObserved=MAPPER_BARRACKS_WOOD	mapperValue=86	maximumColumn=189	maximumHeight=0.25	maximumRow=397	minimumColumn=180	minimumHeight=0.25	minimumRow=379	mouseTileX=293	mouseTileY=223	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=100	view=ReservationDefault
2	MAPPER_BEDOUIN_STOCKADE|Generic|ReservationDefault	captureReferenceHeight=456	captureReferencePivotX=0.5	captureReferencePivotY=0.35307017	captureReferenceSha256=7B635F746210B1FF9F58BE97304AAE00D83A19A9AFBCFD92D007CC50C4DA8AB4	captureReferenceWidth=640	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:50:32.8274950Z	compositePng=MAPPER_BEDOUIN_STOCKADE_Generic_ReservationDefault.png	compositeSha256=7B635F746210B1FF9F58BE97304AAE00D83A19A9AFBCFD92D007CC50C4DA8AB4	fragmentCount=100	fragmentSignature=EF47F80345A4FBC1	gameVersion=1.0	groundCenterX=35	groundCenterY=126.75	groundCenterZ=0	mapperName=MAPPER_BEDOUIN_STOCKADE	mapperNameObserved=MAPPER_BEDOUIN_STOCKADE	mapperValue=79	maximumColumn=189	maximumHeight=0.25	maximumRow=403	minimumColumn=180	minimumHeight=0.25	minimumRow=385	mouseTileX=290	mouseTileY=220	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=100	view=ReservationDefault
2	MAPPER_BLACKSMITH|Generic|Default	captureReferenceHeight=263	captureReferencePivotX=0.5	captureReferencePivotY=0.24714829	captureReferenceSha256=3A71F9482B2FC42C03880409F6E2845A1DFCB0FEAA35F318694254A0A29EEE2B	captureReferenceWidth=256	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:54:56.7080827Z	compositePng=MAPPER_BLACKSMITH_Generic_Default.png	compositeSha256=3A71F9482B2FC42C03880409F6E2845A1DFCB0FEAA35F318694254A0A29EEE2B	fragmentCount=16	fragmentSignature=A292B7FC4079941C	gameVersion=1.0	groundCenterX=32.5	groundCenterY=127	groundCenterZ=0	mapperName=MAPPER_BLACKSMITH	mapperNameObserved=MAPPER_BLACKSMITH	mapperValue=83	maximumColumn=184	maximumHeight=0.25	maximumRow=396	minimumColumn=181	minimumHeight=0.25	minimumRow=390	mouseTileX=285	mouseTileY=220	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=16	view=Default
2	MAPPER_BREWER|Generic|Default	captureReferenceHeight=270	captureReferencePivotX=0.5	captureReferencePivotY=0.240740746	captureReferenceSha256=090C7F91D679DBCD067C467C3808B5570405CF32D89A13BABE396431E4027BDF	captureReferenceWidth=256	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:55:21.3392335Z	compositePng=MAPPER_BREWER_Generic_Default.png	compositeSha256=090C7F91D679DBCD067C467C3808B5570405CF32D89A13BABE396431E4027BDF	fragmentCount=16	fragmentSignature=1B5D1198AA8F4211	gameVersion=1.0	groundCenterX=33.5	groundCenterY=128.5	groundCenterZ=0	mapperName=MAPPER_BREWER	mapperNameObserved=MAPPER_BREWER	mapperValue=76	maximumColumn=185	maximumHeight=0.25	maximumRow=390	minimumColumn=182	minimumHeight=0.25	minimumRow=384	mouseTileX=289	mouseTileY=222	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=16	view=Default
2	MAPPER_BURNING_STAKE|Generic|Default	captureReferenceHeight=246	captureReferencePivotX=0.5	captureReferencePivotY=0.199187	captureReferenceSha256=EE24A6DA5B2299FB25A96EAA33E3441FD2FCFFA0F2D1FBA2F675662CBBA0C218	captureReferenceWidth=192	captureRotation=0	captureSource=preview	capturedUtc=2026-07-31T21:53:49.9016066Z	compositePng=MAPPER_BURNING_STAKE_Generic_Default.png	compositeSha256=EE24A6DA5B2299FB25A96EAA33E3441FD2FCFFA0F2D1FBA2F675662CBBA0C218	fragmentCount=9	fragmentSignature=785A0D407540E30E	gameVersion=1.0	groundCenterX=31	groundCenterY=128	groundCenterZ=0	mapperName=MAPPER_BURNING_STAKE	mapperNameObserved=MAPPER_BURNING_STAKE	mapperValue=305	maximumColumn=182	maximumHeight=0.25	maximumRow=391	minimumColumn=180	minimumHeight=0.25	minimumRow=387	mouseTileX=286	mouseTileY=224	normalizedHorizontalFlip=false	pluginVersion=0.0.0.0	skin=Generic	tileCount=9	view=Default
