"Map","Slot","BuildingId","Type","Owner","Link","X","Y","Dx","Dy"
"test AI overbuild eachother.map","1","1","41","1","1","237","397","17","18"
"test AI overbuild eachother.map","2","1","41","1","1","237","397","21","20"
"test AI overbuild eachother.map","2","2","71","1","1","239","404","19","13"
"test AI overbuild eachother.map","2","3","73","1","1","240","404","18","13"
"test AI overbuild eachother.map","2","4","72","1","1","241","404","17","13"
"test AI overbuild eachother.map","2","5","55","1","1","237","405","21","12"
"test AI overbuild eachother.map","1","6","10","1","6","244","399","10","20"
"test AI overbuild eachother.map","2","6","10","1","6","244","399","14","18"
"test AI overbuild eachother.map","1","7","10","1","6","247","399","7","20"
"test AI overbuild eachother.map","2","7","10","1","6","247","399","11","18"
"test AI overbuild eachother.map","1","8","10","1","6","244","402","10","23"
"test AI overbuild eachother.map","2","8","10","1","6","244","402","14","15"
"test AI overbuild eachother.map","1","9","10","1","6","247","402","7","23"
"test AI overbuild eachother.map","2","9","10","1","6","247","402","11","15"
"test AI overbuild eachother.map","0","10","41","2","11","254","379","17","18"
"test AI overbuild eachother.map","3","10","41","2","11","254","379","24","16"
"test AI overbuild eachother.map","0","11","71","2","11","256","386","19","11"
"test AI overbuild eachother.map","3","11","71","2","11","256","386","22","9"
"test AI overbuild eachother.map","0","12","73","2","11","257","386","20","11"
"test AI overbuild eachother.map","3","12","73","2","11","257","386","21","9"
"test AI overbuild eachother.map","0","13","72","2","11","258","386","21","11"
"test AI overbuild eachother.map","3","13","72","2","11","258","386","20","9"
"test AI overbuild eachother.map","0","14","55","2","11","254","387","17","10"
"test AI overbuild eachother.map","3","14","55","2","11","254","387","24","8"
"test AI overbuild eachother.map","0","15","10","2","16","261","381","24","16"
"test AI overbuild eachother.map","3","15","10","2","16","261","381","17","14"
"test AI overbuild eachother.map","3","16","10","2","16","264","381","14","14"
"test AI overbuild eachother.map","0","17","10","2","16","261","384","24","13"
"test AI overbuild eachother.map","3","17","10","2","16","261","384","17","11"
"test AI overbuild eachother.map","3","18","10","2","16","264","384","14","11"
"test AI overbuild eachother.map","0","19","41","3","21","258","417","21","20"
"test AI overbuild eachother.map","3","19","41","3","21","258","417","20","22"
"test AI overbuild eachother.map","3","24","10","3","26","265","419","13","24"
"test AI overbuild eachother.map","3","25","10","3","26","268","419","10","24"
"test AI overbuild eachother.map","1","28","41","4","31","278","395","24","16"
"test AI overbuild eachother.map","2","28","41","4","31","278","395","20","22"
"test AI overbuild eachother.map","2","29","71","4","31","280","402","22","15"
"test AI overbuild eachother.map","2","30","73","4","31","281","402","23","15"
"test AI overbuild eachother.map","2","31","72","4","31","282","402","24","15"
"test AI overbuild eachother.map","1","32","55","4","31","278","403","24","24"
"test AI overbuild eachother.map","2","32","55","4","31","278","403","20","14"
"Caesarea Swampland.map","2","14","55","2","1367","461","409","23","18"
